uid,namedLocation,siteID,domainID,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,identificationHistoryID,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks,dataQF
"808aab2e-1e92-417d-b1e6-34a03431ab34","BLAN_012.tickPlot.tck","BLAN","D02","BLAN_012","2022-03-22T19:52Z","2022-04-25T16:00Z","BLAN_012.20220322","BLAN_012.20220322.HAELON.N","Haemaphysalis longicornis","HAELON","species","Ixodidae",,,,"Haemaphysalis",,"longicornis",,,"Egizi, A.M., et al. (2019). A pictorial key to differentiate the recently detected exotic Haemaphysalis longicornis Neumann, 1901 (Acari, Ixodidae) from native congeners in North America. ZooKeys 818, 117-128. doi: 10.3897/zookeys.818.30448","GSU_tickIdentification_SOP_2021.pdf",,,"Nymph",1,"OK","95% ethanol","USNMENT1511944",,"L. Beati","Georgia Southern University",,
"182f4de2-e630-4353-bfe7-61cb6a7a5a03","BLAN_012.tickPlot.tck","BLAN","D02","BLAN_012","2022-03-22T19:52Z","2022-04-25T16:00Z","BLAN_012.20220322","BLAN_012.20220322.IXOSCA.M","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2021.pdf",,"Say","Male",1,"OK","95% ethanol","USNMENT1511957",,"L. Beati","Georgia Southern University",,
"0ea9a0cf-dc56-4a64-953d-d0f6096047fc","BLAN_012.tickPlot.tck","BLAN","D02","BLAN_012","2022-03-22T19:52Z","2022-04-25T16:00Z","BLAN_012.20220322","BLAN_012.20220322.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2021.pdf",,"Linnaeus","Nymph",1,"OK","95% ethanol","USNMENT1511958",,"L. Beati","Georgia Southern University",,
