uid,namedLocation,siteID,domainID,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,identificationHistoryID,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks,dataQF
"cd30abab-1179-415f-a020-6a61785f1509","HARV_004.tickPlot.tck","HARV","D01","HARV_004","2016-11-07T14:52Z","2017-03-02T17:00Z","HARV_004.20161107","HARV_004.20161107.IXOSCA.M","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Male",1,"OK","RNA stabilization buffer","USNMENT00864705","HARV_004.20161107.01.IXOSCA.M","Lorenza Beati","Georgia Southern University",,
"00afe725-a97a-48fa-af1c-abf0e369a21c","HARV_004.tickPlot.tck","HARV","D01","HARV_004","2016-11-07T14:52Z","2017-03-02T17:00Z","HARV_004.20161107","HARV_004.20161107.IXOSCA.F","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Female",1,"OK","RNA stabilization buffer","USNMENT00864706","HARV_004.20161107.01.IXOSCA.F","Lorenza Beati","Georgia Southern University",,
"4f351072-3bd6-4ecd-bfd9-b8cf9b9846a4","HARV_026.tickPlot.tck","HARV","D01","HARV_026","2016-11-07T16:44Z","2017-03-02T17:00Z","HARV_026.20161107","HARV_026.20161107.IXOSCA.F","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Female",1,"OK","RNA stabilization buffer","USNMENT00864708","HARV_026.20161107.01.IXOSCA.F","Lorenza Beati","Georgia Southern University",,
"7379e79e-f78f-40de-87c0-7f52ac474aef","HARV_026.tickPlot.tck","HARV","D01","HARV_026","2016-11-07T16:44Z","2017-03-02T17:00Z","HARV_026.20161107","HARV_026.20161107.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Nymph",1,"OK","RNA stabilization buffer","USNMENT00864707","HARV_026.20161107.01.IXOSCA.N","Lorenza Beati","Georgia Southern University",,
"55a7488b-b45a-4fdb-8609-4d077a927b2b","HARV_026.tickPlot.tck","HARV","D01","HARV_026","2016-11-07T16:44Z","2017-03-02T17:00Z","HARV_026.20161107","HARV_026.20161107.IXOSCA.M","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Male",1,"OK","RNA stabilization buffer","USNMENT00864709","HARV_026.20161107.01.IXOSCA.M","Lorenza Beati","Georgia Southern University",,
"b76a9a5d-b91b-4be3-a7c9-7bf4f7d6668b","HARV_006.tickPlot.tck","HARV","D01","HARV_006","2016-11-07T17:40Z","2017-03-06T17:00Z","HARV_006.20161107","HARV_006.20161107.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",42,"OK","RNA stabilization buffer","USNMENT00984000","HARV_006.20161107.01.L","Guy Hobbs","Georgia Southern University",,
