uid,namedLocation,siteID,domainID,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,identificationHistoryID,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks,dataQF
"86226f28-8517-4e01-8970-8811f7fb6c46","SERC_001.tickPlot.tck","SERC","D02","SERC_001","2017-09-05T14:51Z","2018-01-27T17:00Z","SERC_001.20170905","SERC_001.20170905.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",1,"OK","90% ethanol","USNMENT01358747","SERC_001.20170905.AMBAME.N","Lorenza Beati","Georgia Southern University",,
"aa0cbb5c-5ae6-4aaa-8bdb-e35ce210c852","SERC_001.tickPlot.tck","SERC","D02","SERC_001","2017-09-05T14:51Z","2018-01-27T17:00Z","SERC_001.20170905","SERC_001.20170905.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Nymph",1,"OK","90% ethanol","USNMENT01358745","SERC_001.20170905.IXOSCA.N","Lorenza Beati","Georgia Southern University",,
"0fb5184b-b59b-49f9-87d9-ddce0ec67ffd","SERC_001.tickPlot.tck","SERC","D02","SERC_001","2017-09-05T14:51Z","2017-09-30T16:00Z","SERC_001.20170905","SERC_001.20170905.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",251,"OK","90% ethanol","USNMENT01358746","SERC_001.20170905.L","Guy Hobbs","Georgia Southern University",,
"714d4c10-50cd-4632-a0bb-de86a03b57c6","SERC_012.tickPlot.tck","SERC","D02","SERC_012","2017-09-05T17:24Z","2018-01-27T17:00Z","SERC_012.20170905","SERC_012.20170905.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",3,"OK","90% ethanol","USNMENT01358744","SERC_012.20170905.AMBAME.N","Lorenza Beati","Georgia Southern University",,
"0f477ea8-30cb-49ea-aa48-fa83d9b541c3","SERC_012.tickPlot.tck","SERC","D02","SERC_012","2017-09-05T17:24Z","2017-09-30T16:00Z","SERC_012.20170905","SERC_012.20170905.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",50,"OK","90% ethanol","USNMENT01358742","SERC_012.20170905.L","Guy Hobbs","Georgia Southern University",,
"53647566-09d4-4401-8d14-8e4f9d1ebe26","SERC_012.tickPlot.tck","SERC","D02","SERC_012","2017-09-05T17:24Z","2018-01-27T17:00Z","SERC_012.20170905","SERC_012.20170905.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Nymph",2,"OK","90% ethanol","USNMENT01358743","SERC_012.20170905.IXOSCA.N","Lorenza Beati","Georgia Southern University",,
"24ec635b-de3c-4937-827e-0734f47f45e2","SERC_002.tickPlot.tck","SERC","D02","SERC_002","2017-09-05T18:52Z","2018-01-27T17:00Z","SERC_002.20170905","SERC_002.20170905.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Nymph",3,"OK","90% ethanol","USNMENT01358741","SERC_002.20170905.IXOSCA.N","Lorenza Beati","Georgia Southern University",,
"07952790-ea73-4781-9605-eb9ad930b292","SERC_002.tickPlot.tck","SERC","D02","SERC_002","2017-09-05T18:52Z","2017-09-30T16:00Z","SERC_002.20170905","SERC_002.20170905.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",331,"OK","90% ethanol","USNMENT01358739","SERC_002.20170905.L","Guy Hobbs","Georgia Southern University",,
"401b9898-29fd-4635-a1d1-a4af9b6356dc","SERC_002.tickPlot.tck","SERC","D02","SERC_002","2017-09-05T18:52Z","2018-01-27T17:00Z","SERC_002.20170905","SERC_002.20170905.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",5,"OK","90% ethanol","USNMENT01358740","SERC_002.20170905.AMBAME.N","Lorenza Beati","Georgia Southern University",,
"35f5e452-599b-4fe7-9b5e-80587a46fdd3","SERC_005.tickPlot.tck","SERC","D02","SERC_005","2017-09-05T20:30Z","2018-01-27T17:00Z","SERC_005.20170905","SERC_005.20170905.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Nymph",4,"OK","90% ethanol","USNMENT01358738","SERC_005.20170905.IXOSCA.N","Lorenza Beati","Georgia Southern University",,
"aab8adb8-4400-4ddb-be82-761cc4986a0d","SERC_005.tickPlot.tck","SERC","D02","SERC_005","2017-09-05T20:30Z","2017-09-30T16:00Z","SERC_005.20170905","SERC_005.20170905.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",48,"OK","90% ethanol","USNMENT01358737","SERC_005.20170905.L","Guy Hobbs","Georgia Southern University",,
"ccf0221f-d2e6-4633-9b6b-976620ae25a7","SERC_006.tickPlot.tck","SERC","D02","SERC_006","2017-09-05T21:52Z","2018-01-27T17:00Z","SERC_006.20170905","SERC_006.20170905.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Nymph",2,"OK","90% ethanol","USNMENT01358735","SERC_006.20170905.IXOSCA.N","Lorenza Beati","Georgia Southern University",,
"66745e4c-bf7c-46c8-b4da-8f5b492fdbe0","SERC_006.tickPlot.tck","SERC","D02","SERC_006","2017-09-05T21:52Z","2017-09-30T16:00Z","SERC_006.20170905","SERC_006.20170905.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",7,"OK","90% ethanol","USNMENT01358736","SERC_006.20170905.L","Guy Hobbs","Georgia Southern University",,
