uid,namedLocation,siteID,domainID,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,identificationHistoryID,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks,dataQF
"006d6a03-37f9-4b1c-ab1d-5474a529374a","SERC_001.tickPlot.tck","SERC","D02","SERC_001","2019-07-01T15:52Z","2019-12-13T17:00Z","SERC_001.20190701","SERC_001.20190701.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",11,"OK","95% ethanol","USNMENT1512380",,"L. Beati","Georgia Southern University",,
"84ce8159-94c1-470a-8444-fb01a9fbe21e","SERC_001.tickPlot.tck","SERC","D02","SERC_001","2019-07-01T15:52Z","2020-01-30T17:00Z","SERC_001.20190701","SERC_001.20190701.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",23,"OK","95% ethanol","USNMENT1512309",,"L. Beati","Georgia Southern University",,
"791a8e92-883d-4d53-bbed-122cfaea8606","SERC_001.tickPlot.tck","SERC","D02","SERC_001","2019-07-01T15:52Z","2019-12-13T17:00Z","SERC_001.20190701","SERC_001.20190701.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Durden, L.A. & Keirans, J.E. (1996). Nymphs of the genus Ixodes (Acari: Ixodidae) in the US. Taxonomy, ID Key, Distribution, Hosts, and Medical/Veterinary Importance. Thomas Say Publications in Entomology: Monographs. Entomological Society of America.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Nymph",5,"OK","95% ethanol","USNMENT1512352",,"L. Beati","Georgia Southern University",,
"c6acc0fc-8006-4a8f-9931-9dafd7f0652a","SERC_012.tickPlot.tck","SERC","D02","SERC_012","2019-07-01T18:54Z","2020-01-30T17:00Z","SERC_012.20190701","SERC_012.20190701.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",157,"OK","95% ethanol","USNMENT1512347",,"L. Beati","Georgia Southern University",,
"76fad6de-830c-4181-9568-87bb0e08767a","SERC_012.tickPlot.tck","SERC","D02","SERC_012","2019-07-01T18:54Z","2019-12-13T17:00Z","SERC_012.20190701","SERC_012.20190701.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",4,"OK","95% ethanol","USNMENT1512354",,"L. Beati","Georgia Southern University",,
"798cd06a-707f-4991-9f35-0daa1ac594f2","SERC_006.tickPlot.tck","SERC","D02","SERC_006","2019-07-01T20:43Z","2020-01-30T17:00Z","SERC_006.20190701","SERC_006.20190701.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",31,"OK","95% ethanol","USNMENT1512286",,"L. Beati","Georgia Southern University",,
"0cf4a99f-bf1a-4ee5-b412-0ff2c4ca8315","SERC_006.tickPlot.tck","SERC","D02","SERC_006","2019-07-01T20:43Z","2019-12-13T17:00Z","SERC_006.20190701","SERC_006.20190701.AMBAME.M","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Male",1,"OK","95% ethanol","USNMENT1512361",,"L. Beati","Georgia Southern University",,
"272d615a-aba8-46bb-893f-f352d259728c","SERC_006.tickPlot.tck","SERC","D02","SERC_006","2019-07-01T20:43Z","2019-12-13T17:00Z","SERC_006.20190701","SERC_006.20190701.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",15,"OK","95% ethanol","USNMENT1512424",,"L. Beati","Georgia Southern University",,
"3777279a-1f7d-452c-b62a-3ece2a4046b0","SERC_005.tickPlot.tck","SERC","D02","SERC_005","2019-07-02T13:04Z","2020-01-30T17:00Z","SERC_005.20190702","SERC_005.20190702.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",113,"OK","95% ethanol","USNMENT1512273",,"L. Beati","Georgia Southern University",,
"40323ff8-e414-4894-aeae-5edcac7d89a0","SERC_005.tickPlot.tck","SERC","D02","SERC_005","2019-07-02T13:04Z","2019-12-13T17:00Z","SERC_005.20190702","SERC_005.20190702.AMBAME.F","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Female",2,"OK","95% ethanol","USNMENT1512357",,"L. Beati","Georgia Southern University",,
