uid,namedLocation,siteID,domainID,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,identificationHistoryID,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks,dataQF
"5af14418-c53a-4082-bec7-21825b17e361","HARV_002.tickPlot.tck","HARV","D01","HARV_002","2022-08-03T14:41Z","2022-12-15T17:00Z","HARV_002.20220803","HARV_002.20220803.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Durden, L.A. & Keirans, J.E. (1996). Nymphs of the genus Ixodes (Acari: Ixodidae) in the US. Taxonomy, ID Key, Distribution, Hosts, and Medical/Veterinary Importance. Thomas Say Publications in Entomology: Monographs. Entomological Society of America.","GSU_tickIdentification_SOP_2021.pdf",,"Say","Nymph",1,"OK","95% ethanol","USNMENT1786156",,"L. Beati","Georgia Southern University",,
"828ffdf4-874a-4eed-8d90-7f2c4c99ca87","HARV_002.tickPlot.tck","HARV","D01","HARV_002","2022-08-03T14:41Z","2022-12-15T17:00Z","HARV_002.20220803","HARV_002.20220803.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2021.pdf",,,"Larva",60,"OK","95% ethanol","USNMENT1786187",,"L. Beati","Georgia Southern University",,
"2a36f8ac-4982-42f6-81b9-93c39b2c2d8a","HARV_001.tickPlot.tck","HARV","D01","HARV_001","2022-08-03T18:08Z","2022-12-15T17:00Z","HARV_001.20220803","HARV_001.20220803.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2021.pdf",,,"Larva",13,"OK","95% ethanol","USNMENT1786184",,"L. Beati","Georgia Southern University",,
"d42e6d7e-6456-46a7-941d-f34e5800db02","HARV_022.tickPlot.tck","HARV","D01","HARV_022","2022-08-04T11:17Z","2022-12-15T17:00Z","HARV_022.20220804","HARV_022.20220804.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2021.pdf",,,"Larva",350,"OK","95% ethanol","USNMENT1786189",,"L. Beati","Georgia Southern University",,
"eb285ac2-c590-4e8c-8bdc-bcf632ef3073","HARV_022.tickPlot.tck","HARV","D01","HARV_022","2022-08-04T11:17Z","2022-12-15T17:00Z","HARV_022.20220804","HARV_022.20220804.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Durden, L.A. & Keirans, J.E. (1996). Nymphs of the genus Ixodes (Acari: Ixodidae) in the US. Taxonomy, ID Key, Distribution, Hosts, and Medical/Veterinary Importance. Thomas Say Publications in Entomology: Monographs. Entomological Society of America.","GSU_tickIdentification_SOP_2021.pdf",,"Say","Nymph",1,"OK","95% ethanol","USNMENT1786144",,"L. Beati","Georgia Southern University",,
"e9a95713-4b7c-4775-9a34-ebcc2bbe3d20","HARV_006.tickPlot.tck","HARV","D01","HARV_006","2022-08-04T15:14Z","2022-12-15T17:00Z","HARV_006.20220804","HARV_006.20220804.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2021.pdf",,,"Larva",46,"OK","95% ethanol","USNMENT1786190",,"L. Beati","Georgia Southern University",,
"82a819e3-0062-4f9b-9ef1-e31823a7fd27","HARV_026.tickPlot.tck","HARV","D01","HARV_026","2022-08-04T16:41Z","2022-12-15T17:00Z","HARV_026.20220804","HARV_026.20220804.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2021.pdf",,,"Larva",52,"OK","95% ethanol","USNMENT1786169",,"L. Beati","Georgia Southern University",,
"01b05299-9e9a-4126-bd1d-966500a1827b","HARV_004.tickPlot.tck","HARV","D01","HARV_004","2022-08-04T18:33Z","2022-12-15T17:00Z","HARV_004.20220804","HARV_004.20220804.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2021.pdf",,,"Larva",1,"OK","95% ethanol","USNMENT1786150",,"L. Beati","Georgia Southern University",,
"663b2f04-2e2d-438d-87df-a44dbbf3ad96","HARV_004.tickPlot.tck","HARV","D01","HARV_004","2022-08-24T19:50Z","2022-12-15T17:00Z","HARV_004.20220824","HARV_004.20220824.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Durden, L.A. & Keirans, J.E. (1996). Nymphs of the genus Ixodes (Acari: Ixodidae) in the US. Taxonomy, ID Key, Distribution, Hosts, and Medical/Veterinary Importance. Thomas Say Publications in Entomology: Monographs. Entomological Society of America.","GSU_tickIdentification_SOP_2021.pdf",,"Say","Nymph",2,"OK","95% ethanol","USNMENT1786170",,"L. Beati","Georgia Southern University",,
