uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks,dataQF
"43415ae4-d69a-4c4a-bc1f-b98c67308922","HARV_002.tickPlot.tck","D01","HARV","HARV_002","distributed","deciduousForest",42.477231,-72.259454,"WGS84",20.2,187.7,0.3,"location wet",,"2022-09-13T16:00Z","HARV.2022.37",,,,,,,,,,"NEON.DOC.014045vL","0000-0002-1541-5968",,
"607b3236-4324-4803-94e6-dd582a312cdd","HARV_001.tickPlot.tck","D01","HARV","HARV_001","distributed","deciduousForest",42.424217,-72.260096,"WGS84",20.1,202.1,0.2,"location wet",,"2022-09-13T16:00Z","HARV.2022.37",,,,,,,,,,"NEON.DOC.014045vL","0000-0002-1541-5968",,
"6f34cee1-1799-4c44-a3a3-4ece08f724a4","HARV_004.tickPlot.tck","D01","HARV","HARV_004","distributed","mixedForest",42.426877,-72.227953,"WGS84",20.4,182.6,0.9,"location wet",,"2022-09-13T16:00Z","HARV.2022.37",,,,,,,,,,"NEON.DOC.014045vL","0000-0002-1541-5968",,
"975de3cc-8186-4e6f-9d07-a9899d57c26d","HARV_022.tickPlot.tck","D01","HARV","HARV_022","distributed","evergreenForest",42.435458,-72.199287,"WGS84",20.2,185.9,0.5,"OK",,"2022-09-14T17:54Z","HARV.2022.37","HARV_022.20220914","D00000054769","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0002-7782-1339",,
"d20a43fe-084c-42ac-b70e-594bae6ac3e8","HARV_006.tickPlot.tck","D01","HARV","HARV_006","distributed","deciduousForest",42.401928,-72.252700,"WGS84",20.3,190.8,0.5,"OK",,"2022-09-15T13:03Z","HARV.2022.37",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vL","0000-0002-1541-5968",,
"fe122c85-2213-485d-85a6-236adfddfa3b","HARV_026.tickPlot.tck","D01","HARV","HARV_026","distributed","evergreenForest",42.412057,-72.246527,"WGS84",20.2,187.3,0.4,"OK",,"2022-09-15T14:52Z","HARV.2022.37","HARV_026.20220915","D00000077727","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0002-7782-1339",,
