uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks,dataQF
"7cbd2633-666a-4484-8d63-ef7340db591a","HARV_022.tickPlot.tck","D01","HARV","HARV_022","distributed","evergreenForest",42.435458,-72.199287,"WGS84",20.2,185.9,0.5,"OK","OK - no known exceptions","2023-09-20T13:42Z","HARV.2023.38","HARV_022.20230920","D00000078780","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0003-1553-0274",,
"6f3c34eb-2f18-4ef2-ad2c-17d5aa32f423","HARV_002.tickPlot.tck","D01","HARV","HARV_002","distributed","deciduousForest",42.477231,-72.259454,"WGS84",20.2,187.7,0.3,"OK","OK - no known exceptions","2023-09-20T17:36Z","HARV.2023.38","HARV_002.20230920","D00000078811","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0003-1553-0274",,
"fca9423c-ddfb-4a19-99ee-19a11e87c75c","HARV_004.tickPlot.tck","D01","HARV","HARV_004","distributed","mixedForest",42.426877,-72.227953,"WGS84",20.4,182.6,0.9,"OK","OK - no known exceptions","2023-09-21T12:46Z","HARV.2023.38","HARV_004.20230921","D00000078804","drag and flag",157,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0008-2982-4579",,
"ae48d781-1933-42db-9cfc-ee358ab266f1","HARV_026.tickPlot.tck","D01","HARV","HARV_026","distributed","evergreenForest",42.412057,-72.246527,"WGS84",20.2,187.3,0.4,"OK","OK - no known exceptions","2023-09-21T15:08Z","HARV.2023.38","HARV_026.20230921","D00000078803","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0008-2982-4579",,
"ec21820b-103d-421e-9dd0-f860c8929b29","HARV_001.tickPlot.tck","D01","HARV","HARV_001","distributed","deciduousForest",42.424217,-72.260096,"WGS84",20.1,202.1,0.2,"OK","OK - no known exceptions","2023-09-21T16:00Z","HARV.2023.38","HARV_001.20230921","D00000054535","drag and flag",162,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0009-9756-6660",,
"cf620800-fe6c-45bd-80bd-5ab52be7c6e7","HARV_006.tickPlot.tck","D01","HARV","HARV_006","distributed","deciduousForest",42.401928,-72.252700,"WGS84",20.3,190.8,0.5,"OK","OK - no known exceptions","2023-09-21T18:00Z","HARV.2023.38","HARV_006.20230921","D00000078818","drag and flag",159,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0008-2982-4579",,
