uid,namedLocation,siteID,domainID,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,identificationHistoryID,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks,dataQF
"2861b84f-5e0c-415d-b80e-8a1fff0b888a","BLAN_005.tickPlot.tck","BLAN","D02","BLAN_005","2016-05-16T15:37Z","2017-05-17T16:00Z","BLAN_005.20160516","BLAN_005.20160516.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Nymph",25,"OK","RNA stabilization buffer","USNMENT00984135","BLAN_005.20160516.1.IXOSCA.N","Lorenza Beati","Georgia Southern University",,
"fe51c94a-6003-4c4e-8238-6ddf4028cf59","BLAN_005.tickPlot.tck","BLAN","D02","BLAN_005","2016-05-16T15:37Z","2017-05-17T16:00Z","BLAN_005.20160516","BLAN_005.20160516.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",2,"OK","RNA stabilization buffer","USNMENT00864594","BLAN_005.20160516.1.AMBAME.N","Lorenza Beati","Georgia Southern University",,
"13574f21-0d84-462b-b23d-f96377ac3576","BLAN_012.tickPlot.tck","BLAN","D02","BLAN_012","2016-05-16T18:12Z","2017-05-17T16:00Z","BLAN_012.20160516","BLAN_012.20160516.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Nymph",2,"OK","RNA stabilization buffer","USNMENT00984136","BLAN_012.20160516.1.IXOSCA.N","Lorenza Beati","Georgia Southern University",,
