uid,namedLocation,siteID,domainID,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,identificationHistoryID,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks,dataQF
"7060afdd-f75a-474c-9f5a-db5de56da8ef","BLAN_005.tickPlot.tck","BLAN","D02","BLAN_005","2015-06-01T19:04Z","2016-11-04T16:00Z","BLAN_005.20150601","BLAN_005.20150601.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Nymph",45,"OK",,"USNMENT00865208","BLAN_005.20150601.3.01.Ixodes scapularis.nymph","L. Beati","Georgia Southern University",,
"36e7f914-e5a7-44fb-a990-084267fc2f4a","BLAN_005.tickPlot.tck","BLAN","D02","BLAN_005","2015-06-01T19:04Z","2016-11-04T16:00Z","BLAN_005.20150601","BLAN_005.20150601.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",1,"OK","90% ethanol","USNMENT00865207","BLAN_005.20150601.3.01.Amblyomma americanum.nymph","L. Beati","Georgia Southern University",,
"a86b247d-60f6-4153-aa7d-9be364bdef46","BLAN_012.tickPlot.tck","BLAN","D02","BLAN_012","2015-06-08T15:30Z","2016-11-07T17:00Z","BLAN_012.20150608","BLAN_012.20150608.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",2,"OK",,"USNMENT00865206","BLAN_012.20150608.3.01.Amblyomma americanum.nymph","L. Beati","Georgia Southern University",,
"d48deab8-13b1-4f82-8b91-5453f4438b58","BLAN_012.tickPlot.tck","BLAN","D02","BLAN_012","2015-06-08T15:30Z","2016-11-07T17:00Z","BLAN_012.20150608","BLAN_012.20150608.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Nymph",2,"OK","90% ethanol","USNMENT00865205","BLAN_012.20150608.3.01.Ixodes scapularis.nymph","L. Beati","Georgia Southern University",,
"ec0448be-a397-4406-a50a-5dc29a987198","BLAN_015.tickPlot.tck","BLAN","D02","BLAN_015","2015-06-22T16:22Z","2016-11-02T16:00Z","BLAN_015.20150622","BLAN_015.20150622.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Nymph",3,"OK","90% ethanol","USNMENT00865222","BLAN_015.20150622.4.01.Ixodes scapularis.nymph","L. Beati","Georgia Southern University",,
"5c3cf375-51a6-413f-a516-37e54fdf5300","BLAN_012.tickPlot.tck","BLAN","D02","BLAN_012","2015-06-22T17:45Z","2016-11-04T16:00Z","BLAN_012.20150622","BLAN_012.20150622.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Nymph",2,"OK","90% ethanol","USNMENT00865191","BLAN_012.20150622.4.01.Ixodes scapularis.nymph","L. Beati","Georgia Southern University",,
"9892fa1a-3bd5-4fb7-93a3-22e39c1035d9","BLAN_005.tickPlot.tck","BLAN","D02","BLAN_005","2015-06-23T15:15Z","2016-11-04T16:00Z","BLAN_005.20150623","BLAN_005.20150623.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Nymph",23,"OK","90% ethanol","USNMENT00865193","BLAN_005.20150623.4.01.Ixodes scapularis.nymph","L. Beati","Georgia Southern University",,
"53fe7dcc-71e8-46d6-ab5e-5e3ef97c5494","BLAN_005.tickPlot.tck","BLAN","D02","BLAN_005","2015-06-23T15:15Z","2016-11-04T16:00Z","BLAN_005.20150623","BLAN_005.20150623.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",1,"OK",,"USNMENT00865194","BLAN_005.20150623.4.01.Amblyomma americanum.nymph","L. Beati","Georgia Southern University",,
