uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks,dataQF
"2ede3641-55f1-4443-ad73-8d94713bb58e","HARV_006.tickPlot.tck","D01","HARV","HARV_006","distributed","deciduousForest",42.401928,-72.252700,"WGS84",20.3,190.8,0.5,"logistical",,"2020-05-18T16:00Z","HARV.2020.21",,,,,,,,,,"NEON.DOC.014045vK","0000-0002-5456-0404","COVID19",
"2956710e-2087-49ca-a444-53b7b63c98f7","HARV_004.tickPlot.tck","D01","HARV","HARV_004","distributed","mixedForest",42.426877,-72.227953,"WGS84",20.4,182.6,0.9,"logistical",,"2020-05-18T16:00Z","HARV.2020.21",,,,,,,,,,"NEON.DOC.014045vK","0000-0002-5456-0404","COVID19",
"b68df782-8e3e-4c09-9a1a-4e6f8b365cd9","HARV_001.tickPlot.tck","D01","HARV","HARV_001","distributed","deciduousForest",42.424217,-72.260096,"WGS84",20.1,202.1,0.2,"logistical",,"2020-05-18T16:00Z","HARV.2020.21",,,,,,,,,,"NEON.DOC.014045vK","0000-0002-5456-0404","COVID19",
"88c776d9-f12a-409e-a3ea-428926d4a169","HARV_022.tickPlot.tck","D01","HARV","HARV_022","distributed","evergreenForest",42.435458,-72.199287,"WGS84",20.2,185.9,0.5,"logistical",,"2020-05-18T16:00Z","HARV.2020.21",,,,,,,,,,"NEON.DOC.014045vK","0000-0002-5456-0404","COVID19",
"4b85d2dc-0500-413d-bd87-227c32e5a555","HARV_002.tickPlot.tck","D01","HARV","HARV_002","distributed","deciduousForest",42.477231,-72.259454,"WGS84",20.2,187.7,0.3,"logistical",,"2020-05-18T16:00Z","HARV.2020.21",,,,,,,,,,"NEON.DOC.014045vK","0000-0002-5456-0404","COVID19",
"38474ada-8700-4d00-afe2-539b4c1a39b8","HARV_026.tickPlot.tck","D01","HARV","HARV_026","distributed","evergreenForest",42.412057,-72.246527,"WGS84",20.2,187.3,0.4,"logistical",,"2020-05-18T16:00Z","HARV.2020.21",,,,,,,,,,"NEON.DOC.014045vK","0000-0002-5456-0404","COVID19",
